Trial,Container,Treatment,Hours,Consumed,,,,,,,
8,34,0,3,1,,,,,,,
8,34,0,4,1,,,,,,,
8,34,0,24,1,,,,,,,
8,24,1,0,0,,,,,,,
8,24,1,1,1,,,,,,,
8,24,1,2,1,,,,,,,
8,24,1,3,1,,,,,,,
8,24,1,4,1,,,,,,,
8,24,1,24,3,,,,,,,
8,50,1,0,0,,,,,,,
8,50,1,1,1,,,,,,,
8,50,1,2,1,,,,,,,
8,50,1,3,1,,,,,,,
8,50,1,4,1,,,,,,,
8,50,1,24,1,,,,,,,
9,5,1,0,0,,,,,,,
9,5,1,1,1,,,,,,,
9,5,1,2,1,,,,,,,
9,5,1,3,1,,,,,,,
9,5,1,4,1,,,,,,,
9,5,1,24,3,,,,,,,
9,2,0,0,0,,,,,,,
9,2,0,1,0,,,,,,,
9,2,0,2,0,,,,,,,
9,2,0,3,0,,,,,,,
9,2,0,4,0,,,,,,,
9,2,0,24,0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
